query,query_group,mode,result_count,precision_at_10,avg_relevance,dcg_at_10,ndcg_at_10,mrr_at_10,latency_ms
bird,object_like,qdrant_keyword,10,1.0,1.9,12.769324898118251,0.9783012898581854,1.0,526.6856999951415
bird,object_like,qdrant_keyword_object,10,1.0,2.0,13.630678014265037,1.0,1.0,512.6672000042163
bird,object_like,qdrant_object,10,1.0,2.0,13.630678014265037,1.0,1.0,344.66440000687726
bird,object_like,qdrant_object_rerank,10,1.0,2.0,13.630678014265037,1.0,1.0,140.79820000915788
bird,object_like,qdrant_semantic,10,1.0,1.9,12.769324898118251,0.9783012898581854,1.0,76.96179999038577
bird in nature,combined,qdrant_keyword,10,1.0,1.8,12.052548361629261,0.9680382008450961,1.0,494.5283999986714
bird in nature,combined,qdrant_keyword_object,10,1.0,1.8,12.052548361629261,0.9680382008450961,1.0,552.5290999939898
bird in nature,combined,qdrant_object,10,1.0,1.8,12.052548361629261,0.9680382008450961,1.0,331.3540999952238
bird in nature,combined,qdrant_object_rerank,10,1.0,1.8,12.052548361629261,0.9680382008450961,1.0,102.30549999687355
bird in nature,combined,qdrant_semantic,10,1.0,1.8,12.052548361629261,0.9680382008450961,1.0,82.71130001230631
building,object_like,qdrant_keyword,10,1.0,1.0,4.543559338088346,1.0,1.0,512.9371999937575
building,object_like,qdrant_object_rerank,10,1.0,1.0,4.543559338088346,1.0,1.0,131.59689999883994
building,object_like,qdrant_semantic,10,1.0,1.0,4.543559338088346,1.0,1.0,111.41399999905843
building in city,combined,qdrant_keyword,10,1.0,1.0,4.543559338088346,1.0,1.0,641.5879999985918
building in city,combined,qdrant_object_rerank,10,1.0,1.0,4.543559338088346,1.0,1.0,119.21710000024177
building in city,combined,qdrant_semantic,10,1.0,1.0,4.543559338088346,1.0,1.0,137.4249999935273
car,object_like,qdrant_keyword,10,1.0,1.5,9.436163356268128,0.9038057203530259,1.0,508.0633999896236
car,object_like,qdrant_keyword_object,10,1.0,2.0,13.630678014265037,1.0,1.0,514.5786999928532
car,object_like,qdrant_object,10,1.0,2.0,13.630678014265037,1.0,1.0,324.0927000006195
car,object_like,qdrant_object_rerank,10,1.0,2.0,13.630678014265037,1.0,1.0,139.70790000166744
car,object_like,qdrant_semantic,10,0.9,1.2,7.648989400572048,0.8981530574686004,1.0,81.4371000014944
car at night,combined,qdrant_keyword,10,1.0,1.7,11.41748963101339,0.9659827410858348,1.0,554.3220000108704
car at night,combined,qdrant_keyword_object,10,1.0,2.0,13.630678014265037,1.0,1.0,516.1433999892324
car at night,combined,qdrant_object,10,1.0,2.0,13.630678014265037,1.0,1.0,317.1647999988636
car at night,combined,qdrant_object_rerank,10,1.0,2.0,13.630678014265037,1.0,1.0,137.76370001141913
car at night,combined,qdrant_semantic,10,1.0,1.3,8.80541884523126,1.0,1.0,131.96070000412874
cat,object_like,qdrant_keyword,10,1.0,2.0,13.630678014265037,1.0,1.0,495.21290000120644
cat,object_like,qdrant_keyword_object,10,1.0,2.0,13.630678014265037,1.0,1.0,532.3149999894667
cat,object_like,qdrant_object,10,1.0,2.0,13.630678014265037,1.0,1.0,314.87709999782965
cat,object_like,qdrant_object_rerank,10,1.0,2.0,13.630678014265037,1.0,1.0,129.63330000638962
cat,object_like,qdrant_semantic,10,1.0,2.0,13.630678014265037,1.0,1.0,126.68309999571647
cat indoors,combined,qdrant_keyword,10,1.0,1.5,8.297516472414914,0.7947449158465975,1.0,503.1223999976646
cat indoors,combined,qdrant_keyword_object,10,1.0,1.5,8.297516472414914,0.7947449158465975,1.0,486.18249999708496
cat indoors,combined,qdrant_object,10,1.0,1.5,8.297516472414914,0.7947449158465975,1.0,347.36280000652187
cat indoors,combined,qdrant_object_rerank,10,1.0,1.5,8.297516472414914,0.7947449158465975,1.0,87.67520000401419
cat indoors,combined,qdrant_semantic,10,1.0,1.5,8.297516472414914,0.7947449158465975,1.0,102.48199998750351
dog,object_like,qdrant_keyword,10,1.0,1.8,12.333081594026913,0.9905701067474235,1.0,491.56770000990946
dog,object_like,qdrant_keyword_object,10,1.0,2.0,13.630678014265037,1.0,1.0,492.254500000854
dog,object_like,qdrant_object,10,1.0,2.0,13.630678014265037,1.0,1.0,318.77820000227075
dog,object_like,qdrant_object_rerank,10,1.0,2.0,13.630678014265037,1.0,1.0,89.24070000648499
dog,object_like,qdrant_semantic,10,1.0,1.8,12.333081594026913,0.9905701067474235,1.0,112.63629999302793
