judgment_id,query_id,query,type,image_id,image_path,source_systems,best_rank,ranks_by_system,max_score,matched_keywords,detected_objects,brightness,contrast,saturation,warmth,relevance,confidence,comment
q001__QheWOfwEUio,Q001,warm cinematic landscape,semantic_text,QheWOfwEUio,data\unsplash-lite\images\QheWOfwEUio.jpg,faiss_style_rerank,1,faiss_style_rerank:1,0.379383,abies;adventure;cold;colorado;conifer;countryside;dark;ditch;fall;fir;fog;forest;gunnison;hiking;hill;lake city;land;landscape;larch;leisure activities;mist;mood;moody;mountain;mountain range;mountains;nature;outdoors;peak;pine;plant;plateau;rain;scenery;sky;slope;smog;smoke;spruce;sunrise;tree;trees;vegetation;weather;wilderness;winter;woodland,,0.377918,0.381266,0.090318,0.509453,1,medium,
q001__mhePnduuYT0,Q001,warm cinematic landscape,semantic_text,mhePnduuYT0,data\unsplash-lite\images\mhePnduuYT0.jpg,faiss_baseline|qdrant_filtered|qdrant_object_rerank|qdrant_semantic|faiss_style_rerank,1,faiss_baseline:1|faiss_style_rerank:4|qdrant_filtered:1|qdrant_object_rerank:1|qdrant_semantic:1,0.375877,glacier;ground;ice;landscape;mountain;mountain range;nature;outdoors;photo;photography;piste;scenery;slope;snow;sport;sports;wilderness,,0.205084,0.182854,0.210495,0.499162,2,medium,
q001__SwgiWNurMuM,Q001,warm cinematic landscape,semantic_text,SwgiWNurMuM,data\unsplash-lite\images\SwgiWNurMuM.jpg,faiss_style_rerank,2,faiss_style_rerank:2,0.379286,adventure;aerial view;aircraft;architecture;azure sky;backgrounds;building;canyon;castle;cloud;countryside;dawn;dusk;flare;fog;fort;hiking;hill;horizon;hot air balloon;land;landscape;leisure activities;light;mesa;mist;mountain;mountain range;nature;outdoors;panoramic;plateau;red sky;scenery;sky;sun;sunlight;sunrise;sunset;tower;transportation;valley;vehicle;wallpapers;weather,,0.524790,0.314211,0.288570,0.569970,2,high,
q001__h-0eV_evY1U,Q001,warm cinematic landscape,semantic_text,h-0eV_evY1U,data\unsplash-lite\images\h-0eV_evY1U.jpg,faiss_baseline|qdrant_filtered|qdrant_object_rerank|qdrant_semantic,2,faiss_baseline:2|qdrant_filtered:2|qdrant_object_rerank:2|qdrant_semantic:2,0.288494,astronomy;dawn;dusk;full moon;glacier;ice;moon;mountain;mountain range;nature;night;outdoors;outer space;peak;plateau;red sky;sky;snow;space;sunset;universe,,0.154165,0.124733,0.467429,0.480415,1,medium,
q001__Qkr7fS-_P4M,Q001,warm cinematic landscape,semantic_text,Qkr7fS-_P4M,data\unsplash-lite\images\Qkr7fS-_P4M.jpg,faiss_baseline|qdrant_filtered|qdrant_object_rerank|qdrant_semantic,3,faiss_baseline:3|qdrant_filtered:3|qdrant_object_rerank:3|qdrant_semantic:3,0.279642,abies;adventure;art;basin;building;cliff;countryside;dirt road;field;fir;freeway;gliding;grass;grassland;gravel;highway;hiking;hill;housing;ice;landscape;leisure activities;mountain;mountain range;nature;outdoors;painting;peak;plant;plateau;promontory;road;scenery;slope;tree;valley;wilderness,,0.331509,0.201408,0.454402,0.463155,2,high,
q001__kzA0vrx996c,Q001,warm cinematic landscape,semantic_text,kzA0vrx996c,data\unsplash-lite\images\kzA0vrx996c.jpg,faiss_style_rerank|faiss_baseline|qdrant_filtered|qdrant_object_rerank|qdrant_semantic,3,faiss_baseline:6|faiss_style_rerank:3|qdrant_filtered:6|qdrant_object_rerank:6|qdrant_semantic:6,0.376072,abies;animal;archaeology;architecture;bird;bison;building;bull;bunker;cliff;conifer;countryside;crater;deer;dirt road;donner;elk;field;fir;fog;forest;freeway;grassland;gravel;hiking;house;housing;human;hut;lake;land;landscape;landslide;mammal;mist;mountain;nature;outdoors;person;pine;plant;plateau;road;rural;scenery;slate;slope;spruce;tree;trees;volcano;vulture;water;weather;wildlife,person,0.457084,0.299755,0.160959,0.490405,2,high,
q001__GwTS3bbRVJM,Q001,warm cinematic landscape,semantic_text,GwTS3bbRVJM,data\unsplash-lite\images\GwTS3bbRVJM.jpg,faiss_baseline|qdrant_filtered|qdrant_object_rerank|qdrant_semantic,4,faiss_baseline:4|qdrant_filtered:4|qdrant_object_rerank:4|qdrant_semantic:4,0.279634,abies;adventure;architecture;astronomy;building;cliff;countryside;dome;fir;glacier;ice;landscape;leisure activities;moon;mountain;mountain range;nature;night;outdoors;outer space;peak;plant;plateau;scenery;slope;snow;space;tree;universe;valley;wilderness,,0.248462,0.233392,0.769173,0.401176,1,low,
q001__Wnts0njP-n0,Q001,warm cinematic landscape,semantic_text,Wnts0njP-n0,data\unsplash-lite\images\Wnts0njP-n0.jpg,faiss_style_rerank,5,faiss_style_rerank:5,0.375141,abies;adventure;backgrounds;banister;cliff;fir;forest;glacier;handrail;hiking;ice;landscape;leisure activities;mountain;mountain range;nature;outdoors;peak;plant;plateau;scenery;skiing;sky;slope;snow;snowboarding;sport;sports;tree;wallpaper;wallpapers;winter,,0.568093,0.345684,0.086845,0.481356,1,medium,
q001__gqYOrTAszQc,Q001,warm cinematic landscape,semantic_text,gqYOrTAszQc,data\unsplash-lite\images\gqYOrTAszQc.jpg,faiss_baseline|qdrant_filtered|qdrant_object_rerank|qdrant_semantic|faiss_style_rerank,5,faiss_baseline:5|faiss_style_rerank:10|qdrant_filtered:5|qdrant_object_rerank:5|qdrant_semantic:5,0.370314,aerial view;azure sky;backgrounds;bay;beach;cliff;cloud;coast;land;landscape;mesa;mountain;nature;ocean;outdoors;panoramic;plateau;promontory;river;sand;scenery;sea;sea waves;shoreline;sky;wallpapers;water;waterfall,,0.585921,0.277827,0.114440,0.465747,2,high,
q001__LUpby1ackK8,Q001,warm cinematic landscape,semantic_text,LUpby1ackK8,data\unsplash-lite\images\LUpby1ackK8.jpg,faiss_style_rerank,6,faiss_style_rerank:6,0.373585,abies;aerial view;architecture;asphalt;backgrounds;basin;bell tower;building;cabin;camping;cloud;conifer;countryside;crater;dirt road;field;fir;fog;forest;freeway;glacier;grass;grassland;gravel;highway;hiking;house;housing;human;hut;ice;land;landscape;mountain;mountain range;nature;outdoors;peak;person;pine;piste;plant;plateau;road;rural;scenery;shelter;sky;slope;snow;soil;sport;sports;spruce;tarmac;tower;transportation;tree;valley;vegetation;vehicle;volcano;wallpapers;weather;wilderness;woodland,bench;person,0.635851,0.342568,0.177490,0.505630,2,high,
q001__-YiJvbfNDqk,Q001,warm cinematic landscape,semantic_text,-YiJvbfNDqk,data\unsplash-lite\images\-YiJvbfNDqk.jpg,faiss_style_rerank,7,faiss_style_rerank:7,0.373528,art;atmosphere;austria;autumn;birds;dark;dawn;dusk;evening;field;flora;fly;flying;geological phenomenon;gradient;grass;house;landscape;mist;morning;mothernature;mountain;mountain range;nature;october;outdoors;phenomenon;pink;pink sky;plant;red sky;scenery;silhouette;sky;sunrise;sunset;tree;trees,,0.557415,0.325979,0.124050,0.531331,2,high,
q001__Hr8gz4OE-Cs,Q001,warm cinematic landscape,semantic_text,Hr8gz4OE-Cs,data\unsplash-lite\images\Hr8gz4OE-Cs.jpg,faiss_baseline|qdrant_filtered|qdrant_object_rerank|qdrant_semantic,7,faiss_baseline:7|qdrant_filtered:7|qdrant_object_rerank:7|qdrant_semantic:7,0.277491,animal;astronomy;flock;fog;foggy;full moon;mist;misty;moon;nature;night;outdoors;outer space;ridge;space;treeline;trees;universe;weather,,0.194256,0.125111,0.545230,0.433386,0,medium,not warm
q001__VOHg6WZeSJ8,Q001,warm cinematic landscape,semantic_text,VOHg6WZeSJ8,data\unsplash-lite\images\VOHg6WZeSJ8.jpg,faiss_style_rerank,8,faiss_style_rerank:8,0.371391,abies;atmospheric phenomenon;brasov;cloud;cloudy;conifer;evergreen;fir;flora;fog;forest;habitat;holbav;land;landscape;light;mist;morning;mountain;nature;outdoors;pine;plant;romania;spruce;tree;trees;vegetation;weather;wilderness;wood;woods,,0.476033,0.286697,0.189466,0.546277,1,high,
q001__oSbWA1GCEWE,Q001,warm cinematic landscape,semantic_text,oSbWA1GCEWE,data\unsplash-lite\images\oSbWA1GCEWE.jpg,faiss_baseline|qdrant_filtered|qdrant_object_rerank|qdrant_semantic,8,faiss_baseline:8|qdrant_filtered:8|qdrant_object_rerank:8|qdrant_semantic:8,0.275675,adventure;aerial view;america;architecture;arizona;art;building;bunker;canyon;cliff;countryside;desert;far out;grand;grand canyon;grandeur;ground;hike;hiking;housing;human;land;landscape;leisure activities;lost;man hiking;massive;mesa;midwest;monastery;mountain;mountain range;nature;outdoors;painting;panoramic;peak;person;plateau;scenery;soil;sunny;tundra;united states;usa;valley;wilderness,person,0.343756,0.132949,0.242283,0.505584,2,high,
q001__bjcZyDeaA8o,Q001,warm cinematic landscape,semantic_text,bjcZyDeaA8o,data\unsplash-lite\images\bjcZyDeaA8o.jpg,faiss_baseline|qdrant_filtered|qdrant_object_rerank|qdrant_semantic,9,faiss_baseline:9|qdrant_filtered:9|qdrant_object_rerank:9|qdrant_semantic:9,0.275538,abies;adventure;aerial view;aircraft;airliner;airplane;backgrounds;basin;bonfire;cliff;coast;fir;fire;flame;glacier;hiking;ice;land;landscape;leisure activities;mountain;mountain range;nature;ocean;outdoors;peak;plant;plateau;promontory;rock;scenery;sea;shoreline;slate;slope;snow;transportation;tree;vehicle;wallpapers;water;wilderness,,0.226271,0.109695,0.278368,0.492503,2,high,
q001__hyoJJZd_hhI,Q001,warm cinematic landscape,semantic_text,hyoJJZd_hhI,data\unsplash-lite\images\hyoJJZd_hhI.jpg,faiss_style_rerank,9,faiss_style_rerank:9,0.370493,aerial view;art;land;landscape;nature;outdoors;painting;panoramic;scenery,,0.395098,0.230267,0.342537,0.561181,2,high,
q001__S95EQl9CzNE,Q001,warm cinematic landscape,semantic_text,S95EQl9CzNE,data\unsplash-lite\images\S95EQl9CzNE.jpg,faiss_baseline|qdrant_filtered|qdrant_object_rerank|qdrant_semantic,10,faiss_baseline:10|qdrant_filtered:10|qdrant_object_rerank:10|qdrant_semantic:10,0.275397,adventure;aerial view;animal;aquatic;basin;bay;beach;boat;cave;cliff;coast;cove;dawn;dusk;glacier;gliding;ice;island;lagoon;lake;land;landscape;leisure activities;mesa;mountain;mountain range;nature;ocean;outdoors;panoramic;peninsula;plateau;promontory;red sky;reef;scenery;sea;sea life;shoreline;sky;snow;sunlight;sunset;transportation;vehicle;water,,0.303540,0.189618,0.284803,0.470033,1,medium,"warm, but not so warm to be 2"
q002__Hr8gz4OE-Cs,Q002,dark moody forest,semantic_text,Hr8gz4OE-Cs,data\unsplash-lite\images\Hr8gz4OE-Cs.jpg,faiss_baseline|faiss_style_rerank|qdrant_filtered|qdrant_object_rerank|qdrant_semantic,1,faiss_baseline:1|faiss_style_rerank:1|qdrant_filtered:1|qdrant_object_rerank:1|qdrant_semantic:1,0.421554,animal;astronomy;flock;fog;foggy;full moon;mist;misty;moon;nature;night;outdoors;outer space;ridge;space;treeline;trees;universe;weather,,0.194256,0.125111,0.545230,0.433386,2,high,
